WERKS,EQUNR,EMATN,DATAB,DATBI,MAABC,MENGE,LEADTIME,cut_date,operate_day,k,demand_peryear,Anper
D601,D2-G-2602-K1,6037537,2017-04-04,2099-12-31,B,2.0,218.0,2021-12-31,1732,5.0,0.4,PKT
D601,D2-G-2602-K1,6053804,2017-04-04,2099-12-31,B,1.0,203.0,2021-12-31,1732,5.0,0.2,PKT
D601,D2-G-602B-K3,6053028,2021-03-29,2099-12-31,B,1.0,223.0,2021-12-31,277,1.0,1.0,PKT
D601,DL-1109-NF,6053028,2020-04-28,2099-12-31,B,1.0,223.0,2021-12-31,612,2.0,0.5,PKT
D601,D2-GB101-HP-K5,6057087,2016-01-01,2099-12-31,B,4.0,564.0,2021-12-31,2191,6.0,0.6666666666666666,PKT
D601,D2-GB101-HP-K5,6061440,2016-01-01,2099-12-31,B,6.0,747.0,2021-12-31,2191,6.0,1.0,PKT
D601,D2-GB101-HP-K5,6061441,2016-01-01,2099-12-31,B,3.0,747.0,2021-12-31,2191,6.0,0.5,PKT
D601,D2-GB101-HP-K5,6061442,2016-01-01,2099-12-31,B,3.0,765.0,2021-12-31,2191,6.0,0.5,PKT
D601,D2-GB101-HP-K5,6174913,2016-01-01,2099-12-31,B,1.0,203.0,2021-12-31,2191,6.0,0.16666666666666666,PKT
D601,D2-GB101-HP-K5,6199241,2016-01-01,2099-12-31,B,6.0,410.0,2021-12-31,2191,6.0,1.0,PKT
D601,D2-HV-9201-K2,6049382,2016-01-01,2099-12-31,B,2.0,469.6666666666667,2021-12-31,2191,6.0,0.3333333333333333,PKT
D601,D2-HV-9202-K2,6002935,2016-01-01,2099-12-31,B,2.0,118.5,2021-12-31,2191,6.0,0.3333333333333333,PKT
D601,D2-HV-9202-K2,6007630,2016-01-01,2099-12-31,B,1.0,264.5,2021-12-31,2191,6.0,0.16666666666666666,PKT
D601,D2-HV-9202-K2,6010863,2016-01-01,2099-12-31,B,4.0,214.0,2021-12-31,2191,6.0,0.6666666666666666,PKT
D601,D2-HV-9202-K2,6015912,2016-01-01,2099-12-31,B,2.0,163.0,2021-12-31,2191,6.0,0.3333333333333333,PKT
D601,D2-HV-9202-K2,6018052,2016-01-01,2099-12-31,B,11.0,297.5,2021-12-31,2191,6.0,1.8333333333333333,PKT
D601,D2-HV-9202-K2,6019091,2016-01-01,2099-12-31,B,2.0,327.5,2021-12-31,2191,6.0,0.3333333333333333,PKT
D601,D2-HV-9202-K2,6023037,2016-01-01,2099-12-31,B,1.0,697.0,2021-12-31,2191,6.0,0.16666666666666666,PKT
D601,D2-HV-9202-K2,6044760,2016-01-01,2099-12-31,B,2.0,363.0,2021-12-31,2191,6.0,0.3333333333333333,PKT
D601,D2-HV-9202-K2,6049419,2016-01-01,2099-12-31,B,1.0,191.75,2021-12-31,2191,6.0,0.16666666666666666,PKT
D601,D2-HV-9603-K2,6038269,2016-01-01,2099-12-31,B,100.0,591.0,2021-12-31,2191,6.0,16.666666666666668,PKT
D601,D2-HV-9603-K2,6058765,2016-01-01,2099-12-31,B,1.0,386.5,2021-12-31,2191,6.0,0.16666666666666666,PKT
D601,D2-K-2603A-K1,6001394,2017-04-04,2099-12-31,B,2.0,135.0,2021-12-31,1732,5.0,0.4,PKT
D601,D2-K-2603D-K1,6001394,2017-04-04,2099-12-31,B,1.0,135.0,2021-12-31,1732,5.0,0.2,PKT
D601,D2-K-2603A-K1,6003862,2017-04-04,2099-12-31,B,4.0,314.6666666666667,2021-12-31,1732,5.0,0.8,PKT
D601,D2-K-2604-K1,6000100,2017-04-04,2099-12-31,B,4.0,136.5,2021-12-31,1732,5.0,0.8,PKT
